,Year,Sex ratio by age group (female = 100)
0,0 to 4 years,113.91
1,5 to 9 years,118.03
2,10 to 14 years,118.62
3,15 to 19 years,118.14
4,20 to 24 years,112.89
5,25 to 29 years,105.39
6,30 to 34 years,101.05
7,35 to 39 years,102.84
8,40 to 44 years,103.75
9,45 to 49 years,103.64
10,50 to 54 years,102.15
11,55 to 59 years,101.65
12,60 to 64 years,100.5
13,65 to 69 years,96.94
14,70 to 74 years,94.42
15,75 to 79 years,89.15
16,80 to 84 years,76.97
17,85 to 89 years,71.16
18,90 to 94 years,48.74
19,95 years and older,40.07
