,Country,Number of tests performed per million population
0,UK,839496
1,USA,788772
2,Russia,632335
3,Belgium,607185
4,Spain,595313
5,France,557031
6,Italy,449210
7,Sweden,445795
8,Germany,414689
9,Canada,374038
10,Czechia,362054
11,Netherlands,349865
12,Chile,345265
13,Turkey,298515
14,Romania,253945
15,Poland,195156
16,Peru,168086
17,Colombia,163269
18,Brazil,134060
19,Ukraine,129485
20,India,127950
21,Iraq,115749
22,South Africa,114389
23,China,111163
24,Argentina,110138
25,Iran,93270
26,Philippines,62183
27,Pakistan,31038
28,Mexico,28634
29,Indonesia,27553
30,Bangladesh,19856
