,Country,Index from 0 (no impact of terrorism) to 10 (highest impact of terrorism)
0,Afghanistan,9.6
1,Iraq,9.24
2,Nigeria,8.6
3,Syria,8.01
4,Pakistan,7.89
5,Somalia,7.8
6,India,7.52
7,Yemen,7.26
8,Philippines,7.14
9,Democratic Republic of the Congo,7.04
10,Egypt,6.79
11,Libya,6.77
12,Mali,6.65
13,Central African Republic,6.62
14,Cameroon,6.62
15,Turkey,6.53
16,South Sudan,6.32
17,Thailand,6.03
18,Colombia,5.91
19,Sudan,5.81
20,Kenya,5.76
21,United States of America,5.69
22,Niger,5.6
23,Ukraine,5.55
24,Mozambique,5.54
25,Myanmar,5.51
26,Burkina Faso,5.42
27,United Kingdom,5.41
28,Ethiopia,5.35
29,Saudi Arabia,5.24
30,Bangladesh,5.21
31,Palestine,5.18
32,Burundi,5.1
33,Nepal,5.09
34,Indonesia,5.07
35,France,5.01
36,Russia,4.9
37,Chad,4.76
38,Iran,4.72
39,Israel,4.53
40,South Africa,4.51
41,China,4.47
42,Lebanon,4.39
43,Germany,4.25
44,Greece,4.17
45,Chile,4.12
46,Venezuela,4.1
47,Mexico,4.08
48,Uganda,3.96
49,Tajikistan,3.95
