,Response,Share of respondents
0,"Provocative or inappropriate photographs, videos or information",40%
1,Evidence of candidate drinking or using drugs,36%
2,"Discriminatory comments related to race, gender, religion",31%
3,Was linked to criminal behavior,30%
4,Lied about qualifications,27%
5,Had poor communication skills,27%
6,Bad-mouthed their previous company or fellow employee,25%
7,Screen name was unprofessional,22%
8,Shared confidential information from previous employers,20%
9,Lied about an absence,16%
10,Posted too frequently,12%
