,Year,Gross domestic product in billion U.S. dollars
0,2024*,548.05
1,2023*,499.61
2,2022*,455.37
3,2021*,415.24
4,2020*,383.48
5,2019*,356.81
6,2018,330.91
7,2017,313.62
8,2016,304.9
9,2015,292.77
10,2014,284.59
11,2013,271.84
12,2012,250.09
13,2011,224.14
14,2010,199.59
15,2009,168.49
16,2008,173.6
17,2007,149.36
18,2006,122.21
19,2005,103.07
20,2004,91.37
21,2003,83.91
22,2002,81.36
23,2001,76.26
24,2000,81.02
25,1999,83.0
26,1998,72.21
27,1997,91.23
28,1996,91.79
29,1995,82.12
30,1994,71.0
31,1993,60.24
32,1992,58.7
33,1991,50.32
34,1990,49.1
35,1989,47.29
36,1988,42.08
37,1987,36.87
38,1986,33.17
39,1985,34.0
40,1984,34.86
