,Year,Number of employees
0,2019,573300
1,2018,537900
2,2017,504800
3,2016,471100
4,2015,499500
5,2014,494600
6,2013,472600
7,2012,463900
8,2011,442300
9,2010,437700
10,2009,440300
11,2008,444500
12,2007,434400
13,2006,428200
14,2005,430400
15,2004,374900
16,2003,351400
17,2002,348000
18,2001,340500
19,2000,330600
20,1999,319200
21,1998,306200
22,1997,292100
23,1996,278000
24,1995,260100
25,1994,249400
26,1993,237900
27,1992,228300
28,1991,219000
29,1990,204200
30,1989,228100
31,1988,216500
32,1987,202100
33,1986,188100
34,1985,170700
35,1984,153900
36,1983,144800
37,1982,142100
38,1981,142700
39,1980,141900
40,1975,122100
41,1970,93900
42,1965,54200
43,1960,50200
