,Country,Index value in points
0,Switzerland,90.79
1,Netherlands,90.68
2,Belgium,90.46
3,Sweden,89.44
4,United Kingdom,89.39
5,Germany,88.83
6,Austria,88.56
7,Denmark,87.96
8,Finland,87.7
9,France,87.69
10,Ireland,85.54
11,Norway,85.47
12,Czech Republic,84.88
13,Portugal,84.88
14,Canada,84.18
15,Hungary,83.83
16,Spain,83.81
17,Singapore,83.49
18,Cyprus,83.06
19,Estonia,82.91
20,Greece,82.89
21,Luxembourg,82.82
22,Italy,82.82
23,Slovak Republic,82.66
24,United States,82.28
25,Malaysia,81.55
26,Australia,81.51
27,Slovenia,81.21
28,Croatia,81.19
29,Lithuania,81.15
30,Latvia,79.77
31,Bulgaria,79.77
32,Poland,79.67
33,Romania,79.29
34,"Korea, Rep",78.48
35,Japan,78.4
36,Serbia,78.34
37,Malta,77.28
38,New Zealand,77.22
39,Israel,76.88
40,Chile,76.08
41,United Arab Emirates,75.51
42,Qatar,75.32
43,Ukraine,74.95
44,Jordan,73.4
45,Uruguay,72.89
46,Thailand,72.46
47,Mauritius,72.27
48,Russian Federation,71.94
49,Iceland,71.91
