,Borough,Properties key
0,Tower Hamlets,3335
1,W&C,3181
2,Hackney,3040
3,Camden,2313
4,K&C,2127
5,Islington,2101
6,Southwark,1961
7,Lambeth,1835
8,H&F,1548
9,Wandsworth,1435
10,Hounslow,887
11,Haringey,881
12,Brent,867
13,Lewisham,818
14,Newham,714
15,Ealing,517
16,Greenwich,507
17,Waltham Forest,500
18,Barnet,471
19,Richmond Upon Thames,467
20,Merton,395
21,Kingston Upon Thames,251
22,Croydon,247
23,Redbridge,241
24,Harrow,213
25,Bromley,169
26,Enfield,142
27,Sutton,91
28,Hillingdon,78
29,Bexley,59
30,Havering,43
31,Barking and Dagenham,40
