,Domestic industries,Profits in billion U.S. dollars
0,Other nonfinancial,446.3
1,Other financial,383.4
2,Information,156.4
3,Retail trade,154.1
4,Wholesale trade,104.2
5,Federal Reserve banks,64.9
6,Other durable goods,56.4
7,Transportation and warehousing,55.6
8,Food and beverage and tobacco products,50.5
9,Chemical products,45.8
10,Computer and electronic products,38.2
11,Other nondurable goods,31.0
12,Fabricated metal products,22.3
13,Machinery,15.4
14,"Motor vehicles, bodies and trailers, and parts",10.0
15,Petroleum and coal products,9.4
16,"Electrical equipment, appliances, and components",3.2
17,Utilities,-2.1
