,Year,GDP per capita in U.S. dollars
0,2025*,23322.94
1,2024*,22680.7
2,2023*,22061.2
3,2022*,21488.35
4,2021*,20741.88
5,2020*,19586.5
6,2019,23266.49
7,2018,23538.93
8,2017,21113.96
9,2016,20288.92
10,2015,21063.31
11,2014,24929.32
12,2013,24892.99
13,2012,25208.16
14,2011,23654.87
15,2010,19163.34
16,2009,16094.68
17,2008,20157.3
18,2007,16666.63
19,2006,15603.99
20,2005,14068.22
21,2004,11467.1
22,2003,9800.53
23,2002,8822.51
24,2001,8778.39
25,2000,9256.54
26,1999,8092.7
27,1998,7525.3
28,1997,8706.35
29,1996,8527.67
30,1995,7893.42
31,1994,7626.36
32,1993,7686.01
33,1992,8077.77
34,1991,8280.18
35,1990,7734.98
36,1989,6583.29
37,1988,6398.84
38,1987,6524.16
39,1986,6955.05
40,1985,8732.74
