,Year,Number of households (in millions)
0,2020,36.2
1,2019,36.48
2,2018,35.74
3,2017,35.25
4,2016,35.39
5,2015,34.87
6,2014,34.19
7,2013,33.57
8,2012,33.19
9,2011,33.02
10,2010,31.4
11,2009,31.66
12,2008,32.17
13,2007,31.13
14,2006,30.45
15,2005,30.14
16,2004,29.59
17,2003,29.43
18,2002,28.78
19,2001,28.21
20,2000,26.72
21,1999,26.61
22,1998,26.33
23,1997,25.4
24,1996,24.9
25,1995,24.73
26,1994,23.61
27,1993,23.64
28,1992,23.97
29,1991,23.59
30,1990,23.0
31,1985,20.6
32,1980,18.3
33,1975,13.94
34,1970,10.85
35,1960,6.9
