,ice hockey team,Average attendance
0,Chicago Blackhawks,21441
1,Montreal Canadiens,21085
2,Philadelphia Flyers,18390
3,Toronto Maple Leafs,19301
4,Detroit Red Wings,18716
5,Tampa Bay Lightning,18922
6,Minnesota Wild,17472
7,Pittsburgh Penguins,18537
8,Washington Capitals,18570
9,Calgary Flames,18751
10,Edmonton Oilers,17533
11,Vegas Golden Knights,18310
12,Dallas Stars,20326
13,Vancouver Canucks,18679
14,Los Angeles Kings,16916
15,Buffalo Sabres,17167
16,Boston Bruins,17681
17,Nashville Predators,17407
18,St. Louis Blues,18096
19,New York Rangers,17206
20,San Jose Sharks,16427
21,Colorado Avalanche,18708
22,Anaheim Ducks,15846
23,Columbus Blue Jackets,16898
24,Winnipeg Jets,15794
25,New Jersey Devils,14899
26,Ottawa Senators,12618
27,Carolina Hurricanes,16905
28,Arizona Coyotes,14605
29,Florida Panthers,14104
30,New York Islanders,12810
