,Month,Approval rate
0,Jan '17,57%
1,Dec '16,56%
2,Nov '16,56%
3,Oct '16,54%
4,Sep '16,52%
5,Aug '16,51%
6,Jul '16,51%
7,Jun '16,52%
8,May '16,51%
9,Apr '16,50%
10,Mar '16,51%
11,Feb '16,48%
12,Jan '16,48%
13,Dec '15,46%
14,Nov '15,47%
15,Oct '15,46%
16,Sep '15,47%
17,Aug '15,45%
18,Jul '15,46%
19,Jun '15,46%
20,May '15,47%
21,Apr '15,47%
22,Mar '15,46%
23,Feb '15,46%
24,Jan '15,47%
25,Dec '14,44%
26,Nov '14,42%
27,Oct '14,41%
28,Sep '14,42%
29,Aug '14,42%
30,Jul '14,42%
31,Jun '14,42%
32,May '14,44%
33,Apr '14,44%
34,Mar '14,43%
35,Feb '14,42%
36,Jan '14,41%
37,Dec '13,41%
38,Nov '13,41%
39,Oct '13,44%
40,Sep '13,44%
41,Aug '13,45%
42,Jul '13,46%
43,Jun '13,47%
44,May '13,49%
45,Apr '13,49%
46,Mar '13,48%
47,Feb '13,51%
48,Jan '13,52%
49,Dec '12,53%
50,Nov '12,51%
51,Oct '12,50%
52,Sep '12,49%
53,Aug '12,45%
54,Jul '12,46%
55,Jun '12,46%
56,May '12,47%
57,Apr '12,47%
58,Mar '12,46%
59,Feb '12,45%
60,Jan '12,45%
61,Dec '11,43%
62,Nov '11,43%
63,Oct '11,41%
64,Sep '11,41%
65,Aug '11,41%
66,Jul '11,44%
67,Jun '11,46%
68,May '11,50%
69,Apr '11,44%
70,Mar '11,47%
71,Feb '11,47%
72,Jan '11,49%
73,Dec '10,46%
74,Nov '10,45%
75,Oct '10,45%
76,Sep '10,45%
77,Aug '10,44%
78,Jul '10,46%
79,Jun '10,46%
80,May '10,48%
81,Apr '10,48%
82,Mar '10,49%
83,Feb '10,50%
84,Jan '10,49%
85,Dec '09,50%
86,Nov '09,51%
87,Oct '09,53%
88,Sep '09,52%
89,Aug '09,57%
90,Jul '09,61%
91,Jun '09,61%
92,May '09,65%
93,Apr '09,63%
94,Mar '09,62%
95,Feb '09,64%
96,Jan '09,66%
