,Exported Product,Volume of trade goods in billion U.S. dollars
0,Transportation Equipment,253.53
1,Chemicals,196.79
2,"Machinery, Except Electrical",119.03
3,Computers & Electronic Products,112.34
4,Oil & Gas,94.93
5,Petroleum & Coal Products,93.29
6,Food & Kindred Products,64.92
7,Agricultural Products,61.55
8,"Special Classification Provision, Nspf",48.71
9,Primary Metal Products,46.97
10,Miscellaneous Manufactured Commodities,46.47
11,"Electrical Equipment, Appliances & Components",45.84
12,Fabricated Metal Products,42.31
13,Plastic & Rubber Products,30.44
14,Paper Products,22.87
15,Scrap & Waste,19.54
16,Minerals & Ores,19.01
17,Used Or Second-H& Merch&ise,16.26
18,Nonmetallic Mineral Products,10.75
19,Textile & Fabrics,8.39
20,Beverages & Tobacco,7.39
21,Wood Products,6.69
22,"Fish, Fresh Or Chilled; & Other Marine Products",4.97
23,Furniture & Fixtures,4.66
24,"Printing, Publishing & Similar Products",4.53
25,Apparel & Accessories,3.04
26,Leather & Allied Products,2.87
27,Textile Mill Products,2.64
28,"Forestry Products, Nspf",1.95
29,Livestock & Livestock Products,1.94
30,Goods Returned Or Reimported,0.04
