,Year,Gross domestic product in billion international dollars
0,2021*,2582.07
1,2020*,2458.34
2,2019,2616.29
3,2018,2575.21
4,2017,2461.38
5,2016,2365.78
6,2015,2275.31
7,2014,2180.18
8,2013,2082.17
9,2012,2018.93
10,2011,1911.32
11,2010,1806.05
12,2009,1698.33
13,2008,1779.54
14,2007,1725.85
15,2006,1643.05
16,2005,1526.18
17,2004,1446.7
18,2003,1355.62
19,2002,1311.93
20,2001,1292.02
21,2000,1269.42
22,1999,1183.19
23,1998,1135.09
24,1997,1067.34
25,1996,982.01
26,1995,903.18
27,1994,944.02
28,1993,880.76
29,1992,837.45
30,1991,790.79
31,1990,733.98
32,1989,672.69
33,1988,621.78
34,1987,592.99
35,1986,568.88
36,1985,575.37
37,1984,545.79
