,Quarter,Payments and other fees revenue,Advertising revenue
0,Q1'19,41,2670
1,Q4'18,64,2742
2,Q3'18,16,2406
3,Q2'18,19,2297
4,Q1´18,11,2080
5,Q4'17,11,2048
6,Q3'17,11,1749
7,Q2'17,11,1558
8,Q1'17,14,1361
9,Q4'16,12,1337
10,Q3'16,17,1137
11,Q2'16,16,1009
12,Q1'16,13,849
13,Q4'15,15,833
14,Q3'15,15,694
15,Q2'15,18,605
16,Q1'15,18,524
17,Q4'14,23,531
18,Q3'14,23,469
19,Q2'14,23,408
20,Q1'14,21,333
21,Q4'13,23,318
22,Q3'13,23,255
23,Q2'13,22,225
24,Q1'13,21,176
25,Q4'12,30,168
26,Q3'12,21,133
27,Q2'12,20,115
28,Q1'12,19,99
29,Q4'11,20,95
30,Q3'11,16,88
31,Q2'11,8,74
32,Q1'11,6,56
33,Q4'10,5,52
34,Q3'10,1,36
35,Q2'10,0,31
36,Q1'10,0,22
