,Year,Gross domestic product in billion international dollars
0,2021*,1237.69
1,2020*,1190.56
2,2019*,1201.63
3,2018,1143.37
4,2017,1057.71
5,2016,986.67
6,2015,933.94
7,2014,888.27
8,2013,838.16
9,2012,794.45
10,2011,750.69
11,2010,709.62
12,2009,683.8
13,2008,676.19
14,2007,631.77
15,2006,582.97
16,2005,534.73
17,2004,475.94
18,2003,431.2
19,2002,404.23
20,2001,385.93
21,2000,370.36
22,1999,348.64
23,1998,329.88
24,1997,315.2
25,1996,304.67
26,1995,280.67
27,1994,261.66
28,1993,245.46
29,1992,234.86
30,1991,213.47
31,1990,196.41
32,1989,181.02
33,1988,166.2
34,1987,150.83
35,1986,139.11
36,1985,128.2
37,1984,114.82
