,Response,Percentage of adults
0,Oregon,28.56%
1,Colorado,27.77%
2,District of Columbia,27.03%
3,Vermont,25.71%
4,Maine,24.53%
5,Alaska,24.52%
6,Washington,24.18%
7,Nevada,22.61%
8,Rhode Island,21.21%
9,New Hampshire,20.89%
10,Massachusetts,20.87%
11,Montana,20.07%
12,New Mexico,18.99%
13,Michigan,18.91%
14,California,18.89%
15,Connecticut,18.68%
16,Delaware,17.4%
17,Arizona,17.2%
18,Minnesota,15.9%
19,Indiana,15.89%
20,New York,15.53%
21,Illinois,15.41%
22,Missouri,14.82%
23,Maryland,14.81%
24,West Virginia,14.65%
25,Hawaii,14.56%
26,Pennsylvania,14.47%
27,Florida,14.45%
28,Ohio,13.96%
29,Idaho,13.96%
30,Kansas,13.93%
31,South Carolina,13.82%
32,Wisconsin,13.77%
33,Georgia,13.71%
34,Arkansas,13.61%
35,Tennessee,13.24%
36,Oklahoma,13.15%
37,Wyoming,13.14%
38,Kentucky,13%
39,North Carolina,12.96%
40,Alabama,12.82%
41,Nebraska,12.7%
42,Iowa,12.61%
43,Louisiana,12.54%
44,New Jersey,12.42%
45,South Dakota,12.26%
46,North Dakota,12.17%
47,Virginia,12.05%
48,Mississippi,11.67%
49,Texas,11.21%
50,Utah,11.16%
