,Response,Percentage of patients
0,West Virginia,16.4%
1,Kentucky,15.3%
2,Vermont,14.7%
3,New Hampshire,14.5%
4,Maine,14.2%
5,Iowa,14.1%
6,Missouri,13.9%
7,North Dakota,13.9%
8,Indiana,13.4%
9,Arkansas,13.3%
10,Kansas,13.1%
11,Louisiana,13%
12,Michigan,13%
13,Rhode Island,13%
14,Massachusetts,12.9%
15,Utah,12.9%
16,Ohio,12.8%
17,Minnesota,12.7%
18,Montana,12.6%
19,Pennsylvania,12.6%
20,South Dakota,12.6%
21,Alabama,12.3%
22,Oklahoma,12.2%
23,Tennessee,12.2%
24,North Carolina,12.1%
25,Nebraska,12.1%
26,South Carolina,11.9%
27,Wyoming,11.8%
28,Mississippi,11.6%
29,Wisconsin,11.6%
30,Idaho,11.3%
31,Virginia,11.2%
32,Delaware,10.9%
33,Washington,10.9%
34,Connecticut,10.8%
35,Maryland,10.7%
36,Oregon,10.6%
37,Illinois,10.5%
38,Colorado,9.8%
39,Georgia,9.7%
40,New Mexico,9.5%
41,District of Columbia,9.3%
42,Texas,9.3%
43,Arizona,8.8%
44,Florida,8.8%
45,New Jersey,8.3%
46,New York,7.7%
47,California,7.4%
48,Alaska,7.3%
49,Nevada,7.1%
50,Hawaii,3.4%
