,Response,Share of GDP
0,Real estate and rental and leasing,12.98%
1,Health care and social assistance,10.11%
2,Manufacturing,9.42%
3,Public administration,8.85%
4,Construction,7.85%
5,Transportation and warehousing,6.78%
6,Educational services,5.83%
7,Retail trade,5.73%
8,Finance and insurance,5.53%
9,Wholesale trade,4.48%
10,Utilities,3.6%
11,"Professional, scientific and technical services",3.55%
12,"Agriculture, forestry, fishing and hunting",3.51%
13,"Mining, quarrying, and oil and gas extraction",2.47%
14,Information and cultural industries,2.22%
15,Accommodation and food services,2.05%
16,Other services (except public administration),1.91%
17,"Administrative and support, waste management and remediation services",1.78%
18,"Arts, entertainment and recreation",0.81%
19,Management of companies and enterprises,0.55%
