,State,Number of thefts
0,California,6913
1,Florida,4085
2,Texas,3165
3,South Carolina,1601
4,New York,1573
5,North Carolina,1506
6,Missouri,1349
7,Colorado,1219
8,Georgia,1076
9,Washington,1064
10,Maryland,1012
11,Indiana,974
12,Virginia,871
13,Pennsylvania,871
14,Ohio,855
15,Arizona,838
16,Massachusetts,788
17,Tennessee,736
18,Michigan,710
19,Arkansas,669
20,New Jersey,646
21,Kentucky,629
22,Nevada,625
23,Oregon,614
24,Oklahoma,548
25,Illinois,535
26,Alabama,533
27,Louisiana,498
28,Kansas,458
29,Minnesota,443
30,New Mexico,419
31,Connecticut,412
32,Iowa,333
33,Utah,316
34,District of Columbia,235
35,Hawaii,221
36,Wisconsin,198
37,West Virginia,198
38,Mississippi,197
39,Rhode Island,135
40,Nebraska,113
41,Idaho,105
42,Montana,95
43,Delaware,93
44,Alaska,75
45,New Hampshire,74
46,South Dakota,69
47,North Dakota,65
48,Maine,33
49,Wyoming,23
50,Vermont,17
