,Insurers,Total assets in billion U.S. dollars
0,Prudential Financial,577.91
1,"MetLife, Inc.",409.62
2,New York Life,324.78
3,TIAA-CREF,316.04
4,American International Group,285.0
5,Northwestern Mutual,272.27
6,Lincoln Financial,255.64
7,Massachusetts Mutual,254.87
8,Manulife Financial,247.57
9,Jackson National,236.99
10,Transamerica Corporation,201.2
11,AXA Financial,194.99
12,Voya Financial,189.37
13,Principal Financial,185.01
14,Brighthouse Holdings Group,179.3
15,Nationwide,170.47
16,Allianz,145.15
17,Pacific Life,135.58
18,Hopmeadow Holdings Group,117.91
19,Ameriprise Financial,104.11
20,Thrivent Financial For Lutherans,94.23
21,Sammons Financial,85.25
22,Athene Group,83.78
23,State Farm,78.03
24,Guardian,75.59
