,Year,GDP per capita in U.S. dollars
0,2025*,4212.44
1,2024*,4016.67
2,2023*,3859.27
3,2022*,3706.0
4,2021*,3606.29
5,2020*,3561.14
6,2019*,3043.64
7,2018,2577.27
8,2017,2484.54
9,2016,3653.67
10,2015,3731.18
11,2014,3524.42
12,2013,3400.32
13,2012,3383.11
14,2011,3077.34
15,2010,2921.76
16,2009,2578.05
17,2008,2270.36
18,2007,1861.05
19,2006,1563.48
20,2005,1330.46
21,2004,1195.37
22,2003,1254.1
23,2002,1356.68
24,2001,1569.04
25,2000,1642.63
26,1999,1532.89
27,1998,1469.32
28,1997,1342.93
29,1996,1221.89
30,1995,1111.78
31,1994,978.54
32,1993,906.8
33,1992,825.45
34,1991,923.84
35,1990,1870.85
36,1989,2266.44
37,1988,1858.03
38,1987,1585.22
39,1986,1132.46
40,1985,1049.33
