,Sports Leagues,Amount in billion U.S. dollars per year
0,"National Football League (NBC, Fox, ESPN) (2014-2022)",6.0
1,"FIFA World Cup (Fox, NBC, SBS, Bell) (2018-2022)",4.8
2,"English Premier League (BT Sports, Sky Sports) (2016-2019)",2.6
3,"National Basketball Association (TNT, ESPN) (2016-2024)",2.6
4,"Major League Basketball (TBS, ESPN, Fox) (2014-2021)",1.6
5,Rio Summer Olympics (NBC) (2016-2020),1.33
6,"Bundesliga (Sky, Eurosport) (2017-2021)",1.3
7,"UEFA European Cup (Lagardès, CAA, etc.) (2016)",1.1
8,"La Liga (Vodafone, Mediapro, Telefónica) (2016-2019)",0.99
9,Winter Olympics (NBC) (2014-2018),0.87
