,Year,Gross domestic product in billion U.S. dollars
0,2024*,101.52
1,2023*,101.04
2,2022*,100.62
3,2021*,100.34
4,2020*,100.17
5,2019*,99.91
6,2018,101.13
7,2017,104.25
8,2016,104.34
9,2015,103.38
10,2014,102.45
11,2013,102.45
12,2012,101.57
13,2011,100.35
14,2010,98.38
15,2009,96.39
16,2008,93.64
17,2007,89.52
18,2006,87.28
19,2005,83.92
20,2004,80.32
21,2003,75.83
22,2002,72.55
23,2001,69.67
24,2000,61.7
25,1999,57.84
26,1998,54.09
27,1997,48.19
28,1996,45.34
29,1995,42.65
30,1994,39.69
31,1993,36.92
32,1992,34.63
33,1991,32.29
34,1990,30.6
35,1989,28.27
36,1988,26.18
37,1987,23.88
38,1986,21.97
39,1985,20.29
40,1984,19.16
