,Year,Gross domestic product in billion international dollars
0,2021*,106.09
1,2020*,100.01
2,2019*,100.6
3,2018,95.31
4,2017,89.41
5,2016,84.75
6,2015,80.16
7,2014,75.09
8,2013,69.63
9,2012,64.92
10,2011,60.93
11,2010,57.31
12,2009,54.78
13,2008,53.19
14,2007,50.42
15,2006,46.81
16,2005,43.91
17,2004,41.74
18,2003,38.07
19,2002,35.74
20,2001,33.75
21,2000,31.65
22,1999,29.89
23,1998,28.32
24,1997,26.7
25,1996,24.92
26,1995,23.33
27,1994,22.12
28,1993,22.21
29,1992,22.4
30,1991,22.59
31,1990,22.71
32,1989,23.32
33,1988,22.85
34,1987,23.95
35,1986,23.89
36,1985,21.93
37,1984,19.66
