,Schools,Number of students
0,Stockholm University,45879
1,University of Gothenburg,38084
2,Uppsala University,37205
3,Lund University,35313
4,Umeå University,26438
5,Linnaeus University,26162
6,Linköping University,22713
7,Malmö University,17767
8,KTH Royal Institute of Technology,17064
9,Mälardalen University College,14439
10,Örebro University,13211
11,Mid Sweden University,12699
12,Dalarna University,12624
13,Karlstad University,12588
14,Gävle University College,11934
15,Luleå University of Technology,11725
16,Kristianstad University,11220
17,Jönköping University,10375
18,Chalmers University of Technology,10252
19,Södertörn University,9266
