,source,Number of movies released
0,Original screenplay,7418
1,Based on real life events,3067
2,Based on fiction book/short story,2050
3,Remake,325
4,Based on play,259
5,Based on factual book/article,246
6,Based on comic/graphic novel,224
7,Based on TV,219
8,Based on folk tale/legend/fairytale,72
9,Based on game,48
10,Based on musical/opera,41
11,Based on short film,41
12,Compilation,41
13,Spin-off,38
14,Based on religious text,31
15,Based on movie,29
16,Based on toy,19
17,Based on musical group,9
18,Based on theme park ride,8
19,Based on web series,6
20,Based on ballet,4
21,Based on song,2
