,State,Number of unemployed in thousands
0,California,784
1,Texas,494
2,New York,377
3,Florida,321
4,Pennsylvania,284
5,Illinois,256
6,Ohio,239
7,Michigan,201
8,North Carolina,197
9,Georgia,175
10,Arizona,167
11,Washington,166
12,New Jersey,160
13,Virginia,123
14,Maryland,117
15,Tennessee,113
16,Indiana,112
17,Massachusetts,111
18,Wisconsin,104
19,Missouri,102
20,Louisiana,101
21,Minnesota,100
22,Kentucky,89
23,Colorado,87
24,Oregon,79
25,Connecticut,71
26,Mississippi,69
27,South Carolina,68
28,Alabama,67
29,Oklahoma,61
30,Nevada,60
31,Iowa,48
32,Arkansas,48
33,Kansas,47
34,New Mexico,46
35,Utah,42
36,West Virginia,39
37,Nebraska,32
38,Idaho,26
39,District of Columbia,22
40,Maine,21
41,Alaska,21
42,New Hampshire,20
43,Rhode Island,20
44,Montana,19
45,Delaware,18
46,Hawaii,18
47,South Dakota,15
48,Wyoming,11
49,North Dakota,10
50,Vermont,8
