,Month,Turnover in billion EUR
0,Equinor ASA / Statoil,50.99
1,Volvo AB,33.98
2,A.P. Møller – Mærsk A/S,25.81
3,Nokia Oyj,23.15
4,Volvo Car AB,21.41
5,"Ericsson, Telefon AB LM",20.44
6,H&M Hennes & Mauritz AB,20.18
7,Carlbergs Holding AB,16.71
8,Skanska AB,16.03
9,Novo Nordisk A/S,15.0
10,Vattenfall AB,13.74
11,Neste Oyj,13.22
12,Telenor ASA,12.68
13,"Electrolux, AB",12.39
14,Scania AB,12.15
15,Atlas Copco AB,11.82
16,Essity AB,11.09
17,ICA Gruppen AB,10.81
18,Yara International ASA,10.69
19,Kesko Oyj,10.68
