,Quarter,Total attendances in thousands
0,Q4 2018-19,6236
1,Q3 2018-19,6165
2,Q2 2018-19,6183
3,Q1 2018-19,6243
4,Q4 2017-18,5870
5,Q3 2017-18,6025
6,Q2 2017-18,5925
7,Q1 2017-18,6011
8,Q4 2016-17,5647
9,Q3 2016-17,5854
10,Q2 2016-17,5964
11,Q1 2016-17,5897
12,Q4 2015-16,5865
13,Q3 2015-16,5665
14,Q2 2015-16,5678
15,Q1 2015-16,5712
16,Q4 2014-15,5379
17,Q3 2014-15,5574
18,Q2 2014-15,5604
19,Q1 2014-15,5798
20,Q4 2013-14,5405
21,Q3 2013-14,5294
22,Q2 2013-14,5525
23,Q1 2013-14,5554
24,Q4 2012-13,5306
25,Q3 2012-13,5351
26,Q2 2012-13,5494
27,Q1 2012-13,5588
