,Year,GDP per capita in U.S. dollars
0,2025*,7681.4
1,2024*,7375.69
2,2023*,7133.76
3,2022*,6845.43
4,2021*,6513.12
5,2020*,6133.88
6,2019,6658.06
7,2018,6322.32
8,2017,5757.29
9,2016,5022.47
10,2015,5941.24
11,2014,8316.01
12,2013,7977.15
13,2012,6938.07
14,2011,6472.74
15,2010,6023.15
16,2009,5345.33
17,2008,6366.19
18,2007,4726.48
19,2006,3838.29
20,2005,3115.51
21,2004,2370.27
22,2003,1811.86
23,2002,1480.15
24,2001,1247.47
25,2000,1277.05
26,1999,1165.6
27,1998,1452.41
28,1997,1341.85
29,1996,1375.75
30,1995,1000.2
