,Month,Sales in billion Canadian dollars
0,Jul '20,5.05
1,Jun '20,4.1
2,May '20,3.25
3,Apr '20,2.29
4,Mar '20,3.81
5,Feb '20,5.53
6,Jan '20,5.55
7,Dec '19,6.4
8,Nov '19,6.18
9,Oct '19,6.35
10,Sep '19,6.35
11,Aug '19,6.86
12,Jul '19,6.72
13,Jun '19,6.58
14,May '19,6.48
15,Apr '19,5.94
16,Mar '19,6.02
17,Feb '19,5.19
18,Jan '19,5.4
19,Dec '18,6.28
20,Nov '18,5.92
21,Oct '18,6.13
22,Sep '18,6.28
23,Aug '18,6.67
24,Jul '18,6.54
25,Jun '18,6.41
26,May '18,6.2
27,Apr '18,5.66
28,Mar '18,5.78
29,Feb '18,5.03
30,Jan '18,5.13
31,Dec '17,5.98
32,Nov '17,5.6
33,Oct '17,5.91
34,Sep '17,5.98
35,Aug '17,6.26
36,Jul '17,6.23
37,Jun '17,6.0
38,May '17,5.85
39,April '17,5.52
40,March '17,5.43
41,February '17,4.81
42,January '17,4.94
