,Year,Gross domestic product in billion international dollars
0,2021*,31.99
1,2020*,29.63
2,2019*,31.59
3,2018,30.01
4,2017,28.23
5,2016,26.69
6,2015,25.44
7,2014,24.31
8,2013,23.01
9,2012,21.88
10,2011,20.74
11,2010,19.52
12,2009,18.49
13,2008,17.76
14,2007,16.53
15,2006,15.23
16,2005,14.14
17,2004,13.52
18,2003,12.62
19,2002,11.69
20,2001,11.32
21,2000,10.74
22,1999,9.71
23,1998,9.32
24,1997,8.69
25,1996,8.09
26,1995,7.52
27,1994,7.06
28,1993,6.64
29,1992,6.17
30,1991,5.67
31,1990,5.25
32,1989,4.72
33,1988,4.35
34,1987,3.93
35,1986,3.48
36,1985,3.11
37,1984,2.82
