,Oil field (province/territory),Cumulative production in cubic meters
0,Pembina (AB),330251400
1,Hibernia (NL),174190088
2,Swan Hills (AB),148289200
3,Judy Creek (AB),144846300
4,Redwater (AB),139576339
5,Rainbow (AB),114730700
6,Provost (AB),109395200
7,Weyburn (SK),93502801
8,Bonnie Glen (AB),82972300
9,Nipisi (AB),78838400
10,Terra Nova (NL),65785041
11,Leduc-Woodbend (AB),64504700
12,Mitsue (AB),64339000
13,Wizard Lake (AB),54358800
14,Fenn Big Valley (AB),53908200
15,Steelman (SK),53257907
16,White Rose/North Amethyst (NL),46745290
17,Norman Wells (NT),43421280
18,Boundary Lake (BC),38296908
19,Virginia Hills (AB),36846900
