,Month,Number of cases
0,"Dec 16, 2020",357466
1,"Dec 15, 2020",348651
2,"Dec 14, 2020",341639
3,"Dec 13, 2020",338097
4,"Dec 12, 2020",335039
5,"Dec 11, 2020",328497
6,"Dec 10, 2020",320774
7,"Dec 9, 2020",314069
8,"Dec 8, 2020",305672
9,"Dec 7, 2020",298222
10,"Dec 6, 2020",294442
11,"Dec 5, 2020",292639
12,"Dec 4, 2020",287753
13,"Dec 3, 2020",280410
14,"Dec 2, 2020",273419
15,"Dec 1, 2020",266872
16,"Nov 30, 2020",261070
17,"Nov 29, 2020",257594
18,"Nov 28, 2020",254842
19,"Nov 27, 2020",251017
20,"Nov 26, 2020",244553
21,"Nov 25, 2020",237647
22,"Nov 24, 2020",231599
23,"Nov 23, 2020",225925
24,"Nov 22, 2020",222047
25,"Nov 21, 2020",219639
26,"Nov 20, 2020",215142
27,"Nov 19, 2020",209677
28,"Nov 18, 2020",202046
29,"Nov 17, 2020",197083
30,"Nov 16, 2020",192439
31,"Nov 15, 2020",190261
32,"Nov 14, 2020",188678
33,"Nov 13, 2020",185161
34,"Nov 12, 2020",178418
35,"Nov 11, 2020",172783
36,"Nov 10, 2020",167026
37,"Nov 9, 2020",162511
38,"Nov 8, 2020",158770
39,"Nov 7, 2020",156654
40,"Nov 6, 2020",152194
41,"Nov 5, 2020",147769
42,"Nov 4, 2020",143003
43,"Nov 3, 2020",138505
44,"Nov 2, 2020",134896
45,"Nov 1, 2020",133326
46,"Oct 31, 2020",132028
47,"Oct 30, 2020",129045
48,"Oct 29, 2020",124988
49,"Oct 28, 2020",121726
50,"Oct 27, 2020",118336
51,"Oct 26, 2020",115925
52,"Oct 25, 2020",114855
53,"Oct 24, 2020",114340
54,"Oct 23, 2020",112862
55,"Oct 22, 2020",110993
56,"Oct 21, 2020",109326
57,"Oct 20, 2020",107755
58,"Oct 19, 2020",106464
59,"Oct 18, 2020",105694
60,"Oct 17, 2020",105373
61,"Oct 16, 2020",104676
62,"Oct 15, 2020",103496
63,"Oct 14, 2020",102594
64,"Oct 13, 2020",101626
65,"Oct 12, 2020",100710
66,"Oct 11, 2020",100073
67,"Oct 10, 2020",99912
68,"Oct 9, 2020",99403
69,"Oct 8, 2020",98620
70,"Oct 7, 2020",97786
71,"Oct 6, 2020",96955
72,"Oct 5, 2020",96169
73,"Oct 4, 2020",95795
74,"Oct 3, 2020",95640
75,"Oct 2, 2020",95179
76,"Oct 1, 2020",94467
77,"Sep 30, 2020",93834
78,"Sep 29, 2020",93146
79,"Sep 28, 2020",92533
80,"Sep 27, 2020",92155
81,"Sep 26, 2020",91988
82,"Sep 25, 2020",91663
83,"Sep 24, 2020",91034
84,"Sep 23, 2020",90494
85,"Sep 22, 2020",89941
86,"Sep 21, 2020",89503
87,"Sep 20, 2020",89237
88,"Sep 19, 2020",89104
89,"Sep 18, 2020",88825
90,"Sep 17, 2020",88388
91,"Sep 16, 2020",87999
92,"Sep 15, 2020",87669
93,"Sep 14, 2020",87377
94,"Sep 13, 2020",87157
95,"Sep 12, 2020",87051
96,"Sep 11, 2020",86845
97,"Sep 10, 2020",86554
98,"Sep 9, 2020",86299
99,"Sep 8, 2020",85985
100,"Sep 7, 2020",85749
101,"Sep 6, 2020",85564
102,"Sep 5, 2020",85497
103,"Sep 4, 2020",85326
104,"Sep 3, 2020",85064
105,"Sep 2, 2020",84778
106,"Sep 1, 2020",84565
107,"Aug 31, 2020",84394
108,"Aug 30, 2020",84232
109,"Aug 29, 3030",84184
110,"Aug 28, 2020",84053
111,"Aug 27, 2020",83874
112,"Aug 26, 2020",83672
113,"Aug 25, 2020",83428
114,"Aug 24, 2020",83206
115,"Aug 23, 2020",83032
116,"Aug 22, 2020",82975
117,"Aug 21, 2020",82815
118,"Aug 20, 2020",82517
119,"Aug 19, 2020",82184
120,"Aug 18, 2020",81833
121,"Aug 17, 2020",81519
122,"Aug 16, 2020",81345
123,"Aug 15, 2020",81282
124,"Aug 14, 2020",81056
125,"Aug 13, 2020",80712
126,"Aug 12, 2020",80349
127,"Aug 11, 2020",79906
128,"Aug 10, 2020",79489
