,Year,U.S. aid to Israel in million U.S. dollars
0,2010,2800.0
1,2009,2583.9
2,2008,2423.9
3,2007,2503.15
4,2006,2534.5
5,2005,2612.15
6,2004,2687.25
7,2003,3745.15
8,2002,2850.65
9,2001,2876.05
10,2000,4131.85
11,1999,3010.0
12,1998,3080.0
13,1997,3132.1
14,1996,3144.0
15,1995,3102.4
16,1994,3097.2
17,1993,3103.4
18,1992,3100.0
19,1991,3712.3
20,1990,3034.9
21,1989,3045.6
22,1988,3043.4
23,1987,3043.4
24,1986,3663.5
25,1985,3376.7
26,1984,2631.6
27,1983,2505.6
28,1982,2250.5
29,1981,2413.4
30,1980,2121.0
31,1979,4888.0
32,1978,1822.6
33,1977,1762.5
34,1976,2337.7
35,1975,778.0
36,1974,2621.3
37,1973,492.8
38,1972,430.9
39,1971,634.3
40,1970,93.6
41,1969,160.3
42,1968,106.5
43,1967,23.7
44,1966,126.8
45,1965,65.1
46,1964,37.0
47,1963,87.9
48,1962,93.4
49,1961,77.9
50,1960,56.2
51,1959,53.3
52,1958,85.4
53,1957,40.9
54,1956,50.8
55,1955,52.7
56,1954,74.7
57,1953,73.6
58,1952,86.4
59,1951,35.1
60,1949,100.0
