,Year,Inflation rate compared to previous year
0,2025*,4.96%
1,2024*,5.05%
2,2023*,5.53%
3,2022*,7.71%
4,2021*,9.47%
5,2020*,9.31%
6,2019,9.38%
7,2018,9.22%
8,2017,11.54%
9,2016,21.73%
10,2015,21.86%
11,2014,23.78%
12,2013,28.28%
13,2012,21.3%
14,2011,7.62%
15,2010,7.41%
16,2009,8.42%
17,2008,8.72%
18,2007,8.52%
19,2006,8.34%
20,2005,8.16%
21,2004,7.98%
22,2003,7.83%
23,2002,7.71%
24,2001,7.64%
25,2000,29.6%
26,1999,44.76%
27,1998,29.78%
28,1997,9.14%
29,1996,37.73%
30,1995,83.15%
31,1994,34.66%
32,1993,22.78%
33,1992,23.24%
34,1991,8.23%
35,1990,11.86%
36,1989,12.45%
37,1988,33.84%
38,1987,25.05%
39,1986,14.18%
40,1985,10.64%
