,Month,Number of new cases
0,Dec 15,736
1,Dec 14,3879
2,Dec 13,6873
3,Dec 12,8563
4,Dec 11,9658
5,Dec 10,9397
6,Dec 9,8614
7,Dec 8,7488
8,Dec 7,6667
9,Dec 6,6134
10,Dec 5,6552
11,Dec 4,7029
12,Dec 3,6278
13,Dec 2,6007
14,Dec 1,5451
15,Nov 30,4329
16,Nov 29,3913
17,Nov 28,4812
18,nov 27,4547
19,Nov 26,5624
20,Nov 25,4913
21,Nov 24,5109
22,Nov 23,4096
23,Nov 22,4136
24,Nov 21,5132
25,Nov 20,5649
26,Nov 19,6054
27,Nov 18,6135
28,Nov 17,4738
29,Nov 16,4702
30,Nov 15,3907
31,Nov 14,4819
32,Nov 13,5494
33,Nov 12,6107
34,Nov 11,6107
35,Nov 10,5728
36,Nov 9,4780
37,Nov 8,4402
38,Nov 7,5165
39,Nov 6,6052
40,Nov 5,6691
41,Nov 4,7147
42,Nov 3,7854
43,Nov 2,6861
44,Nov 1,7445
45,Oct 31,7694
46,Oct 30,8805
47,Oct 29,10326
48,Oct 28,9335
49,Oct 27,9044
50,Oct 26,10263
51,Oct 25,9364
52,Oct 24,11083
53,Oct 23,9268
54,Oct 22,8738
55,Oct 21,8149
56,Oct 20,7720
57,Oct 19,8439
58,Oct 18,8105
59,Oct 17,7978
60,Oct 16,7779
61,Oct 15,7271
62,Oct 14,7368
63,Oct 13,6844
64,Oct 12,6368
65,Oct 11,6493
66,Oct 10,5959
67,Oct 9,5813
68,Oct 8,4979
69,Oct 7,4517
70,Oct 6,4572
71,Oct 5,4000
72,Oct 4,3963
73,Oct 3,3820
74,Oct 2,3253
75,Oct 1,3293
76,Sep 30,3001
77,Sep 29,2909
78,Sep 28,2989
79,Sep 27,2711
80,Sep 26,2776
81,Sep 25,2541
82,Sep 24,2351
83,Sep 23,2243
84,Sep 22,2215
85,Sep 21,1843
86,Sep 20,1882
87,Sep 19,1972
88,Sep 18,1750
89,Sep 17,1540
90,Sep 16,1376
91,Sep 15,1298
92,Sep 14,1086
93,Sep 13,1231
94,Sep 12,1268
95,Sep 11,823
96,Sep 10,1140
97,Sep 9,963
98,Sep 8,797
99,Sep 7,925
100,Sep 6,654
101,Sep 5,744
102,Sep 4,421
103,Sep 3,914
104,Sep 2,461
105,Sep 1,525
106,Aug 31,508
107,Aug 30,500
108,Aug 29,507
109,Aug 28,510
110,Aug 27,570
111,Aug 26,414
112,Aug 25,572
113,Aug 24,456
114,Aug 23,508
115,Aug 22,534
116,Aug 21,529
117,Aug 20,552
118,Aug 19,568
119,Aug 18,563
120,Aug 17,431
121,Aug 16,436
122,Aug 15,544
123,Aug 14,590
124,Aug 13,686
125,Aug 12,601
126,Aug 11,680
127,Aug 10,525
128,Aug 9,568
129,Aug 8,623
130,Aug 7,559
131,Aug 6,538
132,Aug 5,671
133,Aug 4,488
134,Aug 3,472
135,Aug 2,335
136,Aug 1,365
137,Jul 31,342
138,Jul 30,247
139,Jul 29,223
140,Jul 28,205
141,Jul 27,214
142,Jul 26,137
143,Jul 25,191
144,Jul 24,163
145,Jul 23,168
146,Jul 22,163
147,Jul 21,240
148,Jul 20,144
149,Jul 19,127
150,Jul 18,103
151,Jul 17,99
152,Jul 16,106
153,Jul 15,53
154,Jul 14,90
155,Jul 13,101
156,Jul 12,81
157,Jul 11,42
158,Jul 10,52
159,Jul 9,61
160,Jul 8,56
161,Jul 7,49
162,Jul 6,30
163,Jul 5,43
164,Jul 4,79
165,Jul 3,59
166,Jul 2,75
167,Jul 1,74
168,Jun 30,49
169,Jun 29,68
170,Jun 28,74
171,Jun 27,71
172,Jun 26,96
173,Jun 25,111
174,Jun 24,83
175,Jun 23,70
176,Jun 22,69
177,Jun 21,98
178,Jun 20,91
179,Jun 19,116
180,Jun 18,132
181,Jun 17,119
182,Jun 16,140
183,Jun 15,165
184,Jun 14,143
185,Jun 13,179
186,Jun 12,210
187,Jun 11,164
188,Jun 10,184
189,Jun 9,164
190,Jun 8,165
191,Jun 7,239
192,Jun 6,183
193,Jun 5,210
194,Jun 4,209
195,Jun 3,86
196,Jun 2,102
197,Jun 1,103
198,May 31,185
199,May 30,131
200,May 29,176
201,May 28,182
202,May 27,190
203,May 26,133
204,May 25,209
205,May 24,172
206,May 23,176
207,May 22,188
208,May 21,253
209,May 20,198
210,May 19,108
211,May 18,146
212,May 17,125
213,May 16,189
214,May 15,200
215,May 14,270
216,May 13,227
217,May 12,196
218,May 11,161
219,May 10,245
220,May 9,289
221,May 8,319
222,May 7,455
223,May 6,232
224,May 5,317
225,May 4,199
226,May 3,335
227,May 2,445
228,May 1,475
229,Apr 30,514
230,Apr 29,386
231,Apr 28,171
232,Apr 27,400
233,Apr 26,655
234,Apr 25,655
235,Apr 24,806
236,Apr 23,887
237,Apr 22,708
238,Apr 21,729
239,Apr 20,750
240,Apr 19,1066
241,Apr 18,1140
242,Apr 17,1235
243,Apr 16,1061
244,Apr 15,734
245,Apr 14,868
246,Apr 13,964
247,Apr 12,1174
248,Apr 11,1316
249,Apr 10,1335
250,Apr 9,1213
251,Apr 8,969
252,Apr 7,777
253,Apr 6,952
254,Apr 5,1224
255,Apr 4,904
256,Apr 3,1026
257,Apr 2,1083
258,Apr 1,1019
