,Year,Number of deaths
0,"5 Jan, 21",51430
1,"4 Jan, 21",51078
2,31 Dec,50837
3,30 Dec,50689
4,29 Dec,50442
5,28 Dec,50122
6,24 Dec,49824
7,23 Dec,49698
8,22 Dec,49520
9,21 Dec,49260
10,18 Dec,48926
11,17 Dec,48777
12,16 Dec,48596
13,15 Dec,48401
14,14 Dec,48013
15,11 Dec,47624
16,10 Dec,47344
17,9 Dec,47019
18,7 Dec,46646
19,4 Dec,46252
20,3 Dec,46038
21,2 Dec,45784
22,1 Dec,45511
23,30 Nov,45069
24,27 Nov,44668
25,26 Nov,44374
26,25 Nov,44037
27,24 Nov,43668
28,23 Nov,43131
29,20 Nov,42619
30,19 Nov,42291
31,18 Nov,42039
32,17 Nov,41688
33,16 Nov,41253
34,13 Nov,40769
35,12 Nov,40461
36,11 Nov,40105
37,10 Nov,39756
38,9 Nov,39345
39,6 Nov,38833
40,5 Nov,38486
41,4 Nov,38118
42,3 Nov,36495
43,2 Nov,36257
44,30 Oct,35878
45,29 Oct,35639
46,28 Oct,35466
47,27 Oct,35298
48,26 Oct,35031
49,23 Oct,34752
50,22 Oct,34521
51,21 Oct,34366
52,20 Oct,34210
53,19 Oct,33992
54,16 Oct,33775
55,15 Oct,33553
56,14 Oct,33413
57,13 Oct,33204
58,12 Oct,33124
59,9 Oct,32929
60,8 Oct,32688
61,7 Oct,32562
62,6 Oct,32486
63,5 Oct,32225
64,2 Oct,32086
65,1 Oct,31973
66,30 Sep,31791
67,29 Sep,31614
68,28 Sep,31411
69,25 Sep,31232
70,24 Sep,31118
71,23 Sep,31034
72,22 Sep,30904
73,21 Sep,30663
74,18 Sep,30495
75,17 Sep,30405
76,16 Sep,30243
77,15 Sep,30004
78,14 Sep,29848
79,11 Sep,29747
80,10 Sep,29699
81,9 Sep,29628
82,8 Sep,29594
83,7 Sep,29516
84,4 Sep,29418
85,3 Sep,29234
86,2 Sep,29194
87,1 Sep,29152
88,31 Aug,29094
89,28 Aug,29011
90,27 Aug,28996
91,26 Aug,28971
92,25 Aug,28924
93,24 Aug,28872
94,21 Aug,28838
95,20 Aug,28813
96,19 Aug,28797
97,18 Aug,28670
98,17 Aug,28646
99,14 Aug,28617
100,13 Aug,28605
101,12 Aug,28579
102,11 Aug,28581
103,10 Aug,28576
104,7 Aug,28503
105,6 Aug,28500
106,5 Aug,28499
107,4 Aug,28498
108,3 Aug,28472
109,31 Jul,28445
110,30 Jul,28443
111,29 Jul,28441
112,28 Jul,28436
113,27 Jul,28434
114,24 Jul,28432
115,23 Jul,28429
116,22 Jul,28426
117,21 Jul,28424
118,20 Jul,28422
119,17 Jul,28420
120,16 Jul,28416
121,15 Jul,28413
122,14 Jul,28409
123,13 Jul,28406
124,10 Jul,28403
125,9 Jul,28401
126,8 Jul,28396
127,7 Jul,28392
128,6 Jul,28388
129,3 Jul,28385
130,2 Jul,28368
131,1 Jul,28363
132,30 Jun,28355
133,29 Jun,28346
134,28 Jun,28343
135,27 Jun,28342
136,26 Jun,28338
137,25 Jun,28330
138,24 Jun,28327
139,23 Jun,28325
140,22 Jun,28324
141,21 Jun,28323
142,20 Jun,28322
143,19 Jun,28315
144,18 Jun,27136
145,17 Jun,27136
146,16 Jun,27136
147,15 Jun,27136
148,14 Jun,27136
149,13 Jun,27136
150,12 Jun,27136
151,11 Jun,27136
152,10 Jun,27136
153,9 Jun,27136
154,8 Jun,27136
155,7 Jun,27136
156,6 Jun,27135
157,5 Jun,27134
158,4 Jun,27133
159,3 Jun,27128
160,2 Jun,27127
161,1 Jun,27127
162,31 May,27127
163,30 May,27125
164,29 May,27121
165,28 May,27119
166,27 May,27118
167,26 May,27117
168,25 May,26834
169,24 May,28752
170,23 May,28678
171,22 May,28628
172,21 May,27940
173,20 May,27888
174,19 May,27778
175,18 May,27709
176,17 May,27650
177,16 May,27563
178,15 May,27459
179,14 May,27321
180,13 May,27104
181,12 May,26920
182,11 May,26744
183,10 May,26621
184,9 May,26478
185,8 May,26299
186,7 May,26070
187,6 May,25857
188,5 May,25613
189,4 May,25428
190,3 May,25264
191,2 May,25100
192,1 May,24824
193,30 Apr,24543
194,29 Apr,24275
195,28 Apr,23822
196,27 Apr,23521
197,26 Apr,23190
198,25 Apr,22902
199,24 Apr,22524
200,23 Apr,22157
201,22 Apr,21717
202,21 Apr,21282
203,20 Apr,20852
204,19 Apr,20453
205,18 Apr,20043
206,17 Apr,19478
207,16 Apr,19130
208,15 Apr,18579
209,14 Apr,18056
210,13 Apr,17489
211,12 Apr,16972
212,11 Apr,16353
213,10 Apr,15843
214,9 Apr,15238
215,8 Apr,14555
216,7 Apr,13798
217,6 Apr,13055
218,5 Apr,12418
219,4 Apr,11744
220,3 Apr,10935
221,2 Apr,10003
222,1 Apr,9053
223,31 Mar,8189
224,30 Mar,7340
225,29 Mar,6528
226,28 Mar,5690
227,27 Mar,4858
228,26 Mar,4089
229,25 Mar,3434
230,24 Mar,2696
231,23 Mar,2182
232,22 Mar,1720
233,21 Mar,1326
234,20 Mar,1002
235,19 Mar,767
236,18 Mar,598
237,17 Mar,491
238,16 Mar,309
239,15 Mar,288
240,14 Mar,136
241,13 Mar,121
242,12 Mar,84
243,11 Mar,48
244,10 Mar,36
245,9 Mar,28
246,6 Mar,5
247,5 Mar,3
248,4 Mar,1
