,fiscal quarter,Unit shipments in thousands
0,4Q '19*,960.1
1,3Q '19*,948.6
2,2Q '19*,832.4
3,1Q '19*,723.3
4,4Q '18*,921.4
5,3Q '18*,895.8
6,2Q '18*,786.7
7,1Q '18*,692.8
8,4Q '17,882.6
9,3Q '17,859.7
10,2Q '17,758.7
11,1Q '17,658.5
12,4Q '16,835.0
13,3Q '16,818.4
14,2Q '16,672.2
15,1Q '16,617.0
16,4Q '15,784.2
17,3Q '15,808.6
18,2Q '15,622.9
19,1Q '15,598.5
20,4Q '14,816.5
21,3Q '14,687.7
22,2Q '14,630.1
23,1Q '14,600.5
24,4Q '13,769.7
25,3Q '13,666.3
26,2Q '13,624.0
27,1Q '13,541.7
28,4Q '12,685.6
29,3Q '12,612.2
30,2Q '12,511.3
31,1Q '12,434.4
