,Year,GDP per capita in U.S. dollars
0,2024*,8096.64
1,2023*,7729.02
2,2022*,7381.73
3,2021*,7053.53
4,2020*,6744.01
5,2019*,6508.13
6,2018,6641.51
7,2017,6325.49
8,2016,5799.62
9,2015,6088.68
10,2014,7998.84
11,2013,8103.49
12,2012,7950.38
13,2011,7264.11
14,2010,6285.2
15,2009,5170.53
16,2008,5444.82
17,2007,4684.01
18,2006,3717.55
19,2005,3384.61
20,2004,2737.58
21,2003,2240.21
22,2002,2347.51
23,2001,2383.31
24,2000,2455.11
25,1999,2588.92
26,1998,2992.93
27,1997,3291.58
28,1996,3037.63
29,1995,2939.1
30,1994,2640.39
31,1993,2139.18
32,1992,1923.58
33,1991,1658.07
34,1990,1637.5
35,1989,1640.39
36,1988,1660.55
37,1987,1572.58
38,1986,1542.36
39,1985,1572.19
40,1984,1711.86
