,State,Number of people
0,California,210
1,Texas,108
2,Florida,71
3,Arizona,44
4,Georgia,39
5,Oklahoma,38
6,Ohio,36
7,Colorado,31
8,Louisiana,28
9,North Carolina,26
10,New York,25
11,Virginia,23
12,Pennsylvania,23
13,Washington,23
14,New Jersey,23
15,Missouri,22
16,Illinois,22
17,Indiana,21
18,South Carolina,21
19,New Mexico,21
20,Tennessee,21
21,Michigan,20
22,Alabama,19
23,Kentucky,19
24,Nevada,18
25,Oregon,17
26,Maryland,17
27,Minnesota,13
28,Wisconsin,12
29,Mississippi,12
30,West Virginia,12
31,Kansas,11
32,Massachusetts,10
33,Utah,10
34,Nebraska,9
35,Idaho,7
36,District of Columbia,6
37,Iowa,5
38,Wyoming,5
39,Hawaii,5
40,Alaska,5
41,Arkansas,5
42,Connecticut,4
43,Montana,4
44,Delaware,3
45,New Hampshire,3
46,Maine,2
47,South Dakota,2
48,Vermont,1
49,North Dakota,1
50,Rhode Island,1
