,municipiu of Romania,Number of people
0,Alba,12639
1,Arad,14432
2,Arges,19106
3,Bacau,16891
4,Bihor,18347
5,Bistrita-Nasaud,7615
6,Botosani,8580
7,Braila,8502
8,Brasov,26093
9,Bucuresti,105702
10,Buzau,8469
11,Calarasi,6512
12,Caras-Severin,6707
13,Cluj,31231
14,Constanta,27264
15,Covasna,5152
16,Dambovita,15289
17,Dolj,15731
18,Galati,16741
19,Giurgiu,6532
20,Gorj,5163
21,Harghita,5396
22,Hunedoara,12097
23,Ialomita,7039
24,Iasi,28398
25,Ilfov,25315
26,Maramures,11147
27,Mehedinti,5150
28,Mures,15444
29,Neamt,11352
30,Olt,9741
31,Prahova,24486
32,Salaj,6371
33,Satu-Mare,7246
34,Sibiu,17303
35,Suceava,16330
36,Teleorman,8049
37,Timis,27447
38,Tulcea,5580
39,Unknown,4190
40,Valcea,10164
41,Vaslui,10777
42,Vrancea,7238
