,newspaper,Circulation in thousands
0,Wall Street Journal,1064
1,New York Times,528
2,Washington Post,330
3,Los Angeles Times,328
4,USA Today,299
5,Chicago Tribune,266
6,New York Post,245
7,New York Daily News,228
8,Newsday,217
9,Minneapolis Star-Tribune,184
10,Houston Chronicle,169
11,Arizona Republic,164
12,Denver Post,156
13,Cleveland Plain Dealer,153
14,Tampa Bay Times,141
15,Dallas Morning News,140
16,Boston Globe,140
17,Philadelphia Inquirer,138
18,Chicago Sun-Times,118
19,San Diego Union-Tribune,117
20,Newark Star-Ledger,114
21,Orange County Register,110
22,Honolulu Star-Advertiser,94
23,Atlanta Journal-Constitution,92
24,Las Vegas Review-Journal,90
