,Country,Operating budgetary balances in billion euros
0,Poland,8.57
1,Greece,3.74
2,Romania,3.38
3,Hungary,3.14
4,Czech Republic,2.48
5,Portugal,2.44
6,Bulgaria,1.47
7,Lithuania,1.27
8,Slowakia,0.98
9,Spain,0.73
10,Latvia,0.53
11,Estonia,0.47
12,Croatia,0.26
13,Slovenia,0.15
14,Malta,0.1
15,Cyprus,0.05
16,Luxembourg,0.01
17,Ireland,-0.17
18,Finland,-0.28
19,Denmark,-0.7
20,Belgium,-0.72
21,Austria,-0.93
22,Netherlands,-1.39
23,Sweden,-1.4
24,Italy,-3.58
25,France,-4.57
26,United Kingdom,-5.35
27,Germany,-10.68
