,Year,GDP per capita in U.S. dollars
0,2024*,19372.27
1,2023*,18317.62
2,2022*,17297.84
3,2021*,16605.6
4,2020*,15645.78
5,2019*,14949.76
6,2018,14870.42
7,2017,13382.06
8,2016,12367.8
9,2015,11779.01
10,2014,13610.8
11,2013,13664.97
12,2012,13249.45
13,2011,14579.3
14,2010,13550.44
15,2009,14159.41
16,2008,15892.04
17,2007,13550.44
18,2006,11348.39
19,2005,10208.61
20,2004,9354.1
21,2003,8051.03
22,2002,6241.22
23,2001,5409.89
24,2000,4970.21
25,1999,5132.69
26,1998,5631.17
27,1997,5243.58
28,1996,5251.66
29,1995,5027.78
30,1994,3834.65
