,NAICS category,Number of jobs
0,Health care and social assistance,37875
1,Retail trade,28025
2,Construction,24190
3,Public administration,20425
4,Educational services,19185
5,Accommodation and food services,15520
6,Other services (except public administration),11090
7,Transportation and warehousing,9515
8,Manufacturing,7770
9,Finance and insurance,7765
10,"Professional, scientific and technical services",7750
11,"Administrative and support, waste management and remediation services",6990
12,"Mining, quarrying, and oil and gas extraction",6860
13,Wholesale trade,6450
14,Real estate and rental and leasing,3235
15,Utilities,3070
16,Information and cultural industries,2995
17,"Agriculture, forestry, fishing and hunting",2800
18,"Arts, entertainment and recreation",2650
19,Holding companies,790
