,Response,Share of urban population
0,Shanghai*,88.3%
1,Beijing*,86.6%
2,Tianjin*,83.48%
3,Guangdong,71.4%
4,Jiangsu,70.61%
5,Zhejiang,70%
6,Liaoning,68.11%
7,Chongqing*,66.8%
8,Fujian,66.5%
9,Inner Mongolia,63.37%
10,Shandong,61.51%
11,Hubei,61%
12,Heilongjiang,60.9%
13,National average,60.6%
14,Ningxia,59.86%
15,Shanxi,59.55%
16,Shaanxi,59.43%
17,Hainan,59.23%
18,Jilin,58.27%
19,Hebei,57.62%
20,Jiangxi,57.42%
21,Hunan,57.22%
22,Anhui,55.81%
23,Qinghai,55.52%
24,Sichuan,53.79%
25,Henan,53.21%
26,Xinjiang,51.87%
27,Guangxi,51.09%
28,Guizhou,49.02%
29,Yunnan,48.91%
30,Gansu,48.49%
31,Tibet,31.54%
