,Year,GDP per capita in U.S. dollars
0,2025*,34830.19
1,2024*,33668.39
2,2023*,32535.27
3,2022*,31147.89
4,2021*,29685.75
5,2020*,26240.05
6,2019,28049.01
7,2018,28897.32
8,2017,26474.53
9,2016,24618.93
10,2015,23354.31
11,2014,27273.65
12,2013,27825.72
13,2012,29066.12
14,2011,32692.86
15,2010,31262.53
16,2009,32635.74
17,2008,36030.55
18,2007,31774.61
19,2006,27448.4
20,2005,25527.25
21,2004,23969.82
22,2003,20389.34
23,2002,16188.53
24,2001,14904.89
25,2000,14464.82
26,1999,15379.99
27,1998,15181.97
28,1997,14324.09
29,1996,15260.55
30,1995,15397.12
31,1994,12525.48
32,1993,11342.56
33,1992,12158.76
34,1991,10413.86
35,1990,10360.13
36,1989,8635.88
37,1988,8204.41
38,1987,7188.31
39,1986,6057.98
40,1985,4824.74
