,video game,Revenue in million U.S. dollars
0,Playerunknown’s Battlegrounds,600
1,Counter-Strike: Global Offensive,120
2,Grand Theft Auto V,83
3,Call of Duty: WWII,41
4,Sid Meier's Civilization VI,39
5,The Witcher 3: Wild Hunt,38
6,Divinity: Original Sin 2,37
7,Tom Clancy's Ghost Recon Wildlands,33
8,Total War: WARHAMMER II,32
9,Middle-Earth: Shadow of War,31
10,Tom Clancy's Rainbow Six Siege,30
11,NieR: Automata,29
12,ARK: Survival Evolved,28
13,For Honor,26
14,Assasin's Creed Origins,25
15,Resident Evil 7,24
16,Dark Souls III,24
17,Rocket League,23
18,Football Manager 2018,23
19,Cuphead,22
