,Year,Population in millions
0,2019,2188956
1,2020,2185574
2,2021,2183055
3,2022,2181306
4,2023,2180325
5,2024,2179968
6,2025,2180191
7,2026,2180903
8,2027,2182086
9,2028,2183640
10,2029,2185579
11,2030,2187859
12,2031,2190415
13,2032,2193184
14,2033,2196085
15,2034,2198991
16,2035,2201807
17,2036,2204564
18,2037,2207192
19,2038,2209705
20,2039,2212117
21,2040,2214372
22,2041,2216521
23,2042,2218587
24,2043,2220567
25,2044,2222436
26,2045,2224247
27,2046,2226012
28,2047,2227750
29,2048,2229477
30,2049,2231253
31,2050,2233027
