,Life Insurance Companies,Market capitalization in billion U.S. dollars
0,AIA Group (Hong Kong),122.2
1,China Life Insurance (China),114.2
2,Prudential (United Kingdom),60.2
3,China Pacific Insurance (China),47.9
4,Japan Post Holdings (Japan),44.5
5,Prudential Financial (United States),42.4
6,Aflac (United States),36.6
7,Manulife (Canada),36.2
8,New China Life Insurance (China),25.6
9,Sun Life Financial (Canada),24.5
10,Legal & General Group (United Kingdom),22.6
11,Aviva (United Kingdom),22.0
12,Cathay Financial (Taiwan),18.0
13,Dai-ichi Life Insurance (Japan),16.9
14,Swiss Life Holding (Switzerland),15.9
