,Year,GDP per capita in U.S. dollars
0,2025*,16791.7
1,2024*,16485.4
2,2023*,16126.32
3,2022*,15803.94
4,2021*,14674.53
5,2020*,14423.37
6,2019*,18198.31
7,2018,19092.53
8,2017,17045.15
9,2016,16332.37
10,2015,18243.81
11,2014,21814.15
12,2013,21920.15
13,2012,23282.2
14,2011,22726.64
15,2010,19774.8
16,2009,16784.91
17,2008,21866.27
18,2007,15436.81
19,2006,13938.21
20,2005,11873.18
21,2004,9635.83
22,2003,8565.26
23,2002,8108.72
24,2001,7961.21
25,2000,8120.72
26,1999,6605.92
27,1998,6037.75
28,1997,6965.2
29,1996,6864.96
30,1995,6355.28
31,1994,6116.03
32,1993,6102.67
33,1992,6292.66
34,1991,5937.75
35,1990,6340.52
36,1989,4605.01
37,1988,4362.95
38,1987,4488.92
39,1986,4548.85
40,1985,6129.2
