,Accounting firm,Number of professionals
0,Deloitte,73855
1,PwC**,35350
2,Ernst & Young,33600
3,KPMG,26447
4,RSM US,7252
5,Grant Thornton,6616
6,BDO USA,4958
7,CliftonLarsonAllen,4056
8,Crowe Horwath,3402
9,CBIZ / Mayer Hoffman McCann,2470
10,Moss Adams,2066
11,CohnReznick,1908
12,BKD,1824
13,Baker Tilly Virchow Krause,2095
14,Marcum,1219
15,Plante Moran,1796
16,Dixon Hughes Goodman,1385
17,EisnerAmper,979
18,Wipfli,1229
19,"Carr, Riggs & Ingram",1346
20,Eide Bailly,1386
21,Citrin Cooperman & Co.,675
22,Armanino,900
23,Withum,720
24,Mazars USA***,601
