,Month,USD RUB exchange rate
0,Oct 20,79.47
1,Sep 20,77.68
2,Aug 20,73.78
3,Jul 20,73.32
4,Jun 20,69.97
5,May 20,70.5
6,Apr 20,73.07
7,Mar 20,79.59
8,Feb 20,66.27
9,Jan 20,63.89
10,Dec 19,61.97
11,Nov 19,64.06
12,Oct 19,63.75
13,Sep 19,64.62
14,Aug 19,66.49
15,Jul 19,63.49
16,Jun 19,63.06
17,May 19,64.92
18,Apr 19,64.43
19,Mar 19,64.91
20,Feb 19,65.73
21,Jan 19,65.41
22,Dec 18,69.52
23,Nov 18,66.07
24,Oct 18,65.65
25,Sep 18,66.82
26,Aug 18,68.2
27,Jul 18,63.29
28,Jun 18,62.83
29,Apr 18,62.95
30,Mar 18,57.25
31,Feb 18,56.79
32,Jan 18,55.94
33,Dec 17,56.97
34,Nov 17,58.45
35,Oct 17,58.26
36,Sep 17,57.52
37,Aug 17,58.46
38,Jul 17,59.48
39,Jun 17,59.42
40,May 17,56.53
41,Apr 17,56.97
42,Mar 17,55.98
43,Feb 17,58.18
44,Jan 17,59.72
45,Dec 16,60.34
46,Nov 16,65.14
47,Oct 16,63.04
48,Sep 16,63.08
49,Aug 16,65.28
50,Jul 16,66.58
51,Jun 16,63.82
52,May 16,65.67
53,Apr 16,64.56
54,Mar 16,67.68
55,Feb 16,76.34
56,Jan 16,76.55
57,Dec 15,73.23
58,Nov 15,66.63
59,Oct 15,64.3
60,Sep 15,65.8
61,Aug 15,65.11
62,Jul 15,59.6
63,Jun 15,55.71
64,May 15,52.69
65,April 15,50.99
66,Mar 15,57.53
67,Feb 15,61.14
68,Jan 15,68.74
69,Dec 14,56.56
70,Nov 14,49.26
71,Oct 14,41.01
72,Sep 14,39.56
73,Aug 14,36.94
74,Jul 14,35.63
75,Jun 14,33.84
76,May 14,34.62
77,Apr 14,35.59
78,Mar 14,35.15
79,Feb 14,35.99
