,"Operator (City, State)",Number of hospitals
0,"Hospital Corporation of America (Nashville, Tenn.)",185
1,Ascension Health (St. Louis),151
2,"CommonSpirit Health (Chicago, Ill.)",142
3,"Community Health Systems (Franklin, Tenn.)",105
4,"Trinity Health (Livonia, Mich.)",92
5,"LifePoint Hospitals (Brentwood, Tenn.)",86
6,"Tenet Healthcare Corp. (Dallas, Tex.)",65
7,"Vibra Healthcare (Mechanicsburg, Pa.)",65
8,"Providence Health & Services (Renton, Wash.)",51
9,"Atrium Health (Charlotte, N.C.)",50
