,Country,Not a moral issue,Acceptable,Unacceptable
0,Indonesia,1%,1%,97%
1,Jordan,3%,1%,95%
2,Pakistan,2%,0%,94%
3,Palestinian ter.,4%,1%,94%
4,Turkey,2%,5%,91%
5,Egypt,6%,2%,90%
6,Tunisia,3%,4%,89%
7,Malaysia,5%,3%,87%
8,Ghana,4%,6%,86%
9,Lebanon,8%,5%,81%
10,Kenya,13%,4%,79%
11,Uganda,9%,9%,77%
12,Nigeria,13%,3%,77%
13,Philippines,7%,20%,71%
14,India,11%,10%,67%
15,Senegal,26%,6%,63%
16,China,17%,12%,58%
17,El Salvador,14%,22%,56%
18,Bolivia,11%,22%,53%
19,South Africa,17%,21%,48%
20,Mexico,21%,26%,44%
21,Israel,22%,36%,37%
22,South Korea,29%,27%,35%
23,Brazil,14%,47%,35%
24,Russia,10%,40%,30%
25,United States,36%,29%,30%
26,Poland,21%,44%,22%
27,Argentina,27%,45%,22%
28,Japan,26%,47%,21%
29,Venezuela,13%,61%,21%
30,Canada,47%,34%,15%
31,Australia,47%,34%,15%
32,Britain,44%,38%,13%
33,Chile,26%,54%,13%
34,Italy,41%,42%,11%
35,Greece,27%,59%,11%
36,Czech Republic,18%,67%,10%
37,Spain,39%,52%,8%
38,Germany,34%,57%,6%
39,France,47%,47%,6%
