,Race,Women,Men
0,Dinner out,53%,52%
1,Chocolates,48%,54%
2,Candy,27%,32%
3,Greeting cards,24%,29%
4,Gift cards,20%,17%
5,Alcohol/wine,19%,18%
6,Personalized gifts,18%,27%
7,Home-cooked meals,8%,19%
8,Flowers,17%,44%
9,Massages,15%,28%
10,Jewelry,15%,25%
11,Outings,12%,6%
12,Perfumes,10%,18%
13,Other,7%,2%
14,Stuffed toys,6%,9%
15,Accessories,6%,6%
16,Holidays,4%,10%
17,Books,4%,7%
18,Photo frame,4%,8%
19,Home decor,3%,0%
20,Electronic gadgets,3%,5%
21,Wearables,3%,12%
22,Toiletries,3%,1%
23,Cosmetics,3%,9%
24,Pets,2%,8%
25,Couple's gym membership,1%,1%
26,Mixtape,0%,2%
