,bank,Number of employees
0,Wells Fargo Bank,232982
1,JPMorgan Chase Bank,201005
2,Citibank,158759
3,Bank of America,137072
4,U.S. Bank,68375
5,Truist Bank,53430
6,PNC Bank,51466
7,The Bank of New York Mellon,38549
8,Capital One,31396
9,State Street Bank and Trust Company,30424
10,TD Bank,25770
11,Capital One Bank (USA),24937
12,Fifth Third Bank,19841
13,The Northern Trust Company,19619
14,Regions Bank,19496
15,Citizens Bank,17878
16,Manufacturers and Traders Trust Company,16847
17,KeyBank,16578
18,The Huntington National Bank,14506
19,USAA Federal Savings Bank,13358
