,Country,Imports,Exports
0,Jul19,35936.3,13543.9
1,Jun19,35365.5,13988.7
2,May19,36062.9,15319.7
3,Apr19,32569.4,13864.7
4,Mar19,31136.3,15551.0
5,Feb19,29528.1,14295.1
6,Jan19,34363.2,13781.8
7,Dec18,36863.5,13976.0
8,Nov18,37565.8,14997.8
9,Oct18,41462.6,15961.6
10,Sep18,38194.2,14462.9
11,Aug18,37710.2,15178.0
12,Jul18,36839.0,14006.4
13,Jun18,35300.1,15413.3
14,May18,37283.6,15150.2
15,Apr18,35362.2,14979.8
16,Mar18,34032.5,15962.6
17,Feb18,33251.2,14615.0
18,Jan18,37301.3,13701.2
19,Dec17,38292.6,15320.6
20,Nov17,42173.8,15329.6
21,Oct17,39717.9,14821.3
22,Sep17,37392.9,14193.9
23,Aug17,38004.4,14693.7
24,Jul17,36530.8,13300.0
25,Jun17,37238.7,15061.9
26,May17,37205.2,13493.5
27,Apr17,34709.4,14069.9
28,Mar17,34877.2,14914.1
29,Feb17,29683.7,13458.1
30,Jan17,34888.4,13272.9
