,Week,Number of tests
0,Week 50,708088
1,Week 49,558283
2,Week 48,513247
3,Week 47,517286
4,Week 46,511489
5,Week 45,481560
6,Week 44,454374
7,Week 43,344318
8,Week 42,244038
9,Week 41,302300
10,Week 40,312796
11,Week 39,356149
12,Week 38,358521
13,Week 37,336399
14,Week 36,259099
15,Week 35,246662
16,Week 34,245946
17,Week 33,219477
18,Week 32,173066
19,Week 31,134662
20,Week 30,109656
21,Week 29,104242
22,Week 28,99190
23,Week 27,104583
24,Week 26,115509
25,Week 25,114721
26,Week 24,97234
27,Week 23,76382
28,Week 22,90141
29,Week 21,84405
30,Week 20,87836
31,Week 19,87105
32,Week 18,102334
33,Week 17,79552
34,Week 16,28917
35,Week 15,28445
36,Week 14,29464
37,Week 13,10570
38,Week 12,7658
39,Week 11,5077
40,Week 10,998
41,Week 9,491
42,Week 8,12
43,Week 7,4
44,Week 6,5
45,Week 5,3
