,Country,Male,Female
0,Finland (2009-10),37,30
1,Slovenia (2000-01),35,28
2,France (2009),37,24
3,Austria (2008-09),33,27
4,Italy (2008),34,25
5,Estonia (2009-2010),32,23
6,Korea (2009),31,23
7,Germany (2001-02),27,27
8,Canada (2010),32,21
9,Norway (2010),27,24
10,Belgium (2005),29,18
11,China (2008),24,22
12,Denmark (2001),25,20
13,Poland (2003-04),28,17
14,United Kingdom (2005),24,19
15,Netherlands (2005-06),22,20
16,Ireland (2005),23,17
17,Australia (2006),23,16
18,Hungary (1999-2000),24,15
19,United States (2014),24,13
20,Spain (2009-10),24,12
21,Sweden (2010),18,16
22,New Zealand (2009-10),19,15
23,Japan (2011),17,14
24,Portugal (1999),20,6
25,Mexico (2009),15,8
26,Turkey (2006),10,4
27,South Africa (2010),9,2
28,India (1999),9,1
