,Month,Cumulative number of hospitalizations
0,Dec 15,18618
1,Dec 8,18118
2,Dec 1,17677
3,Nov 24,17209
4,Nov 17,16668
5,Nov 10,16064
6,Nov 3,15434
7,Oct 27,14739
8,Oct 20,14029
9,Oct 13,13470
10,Oct 6,13020
11,Sep 29,12710
12,Sep 22,12597
13,Sep 15,12416
14,Sep 8,12301
15,Sep 1,12238
16,Aug 25,12199
17,Aug 18,12152
18,Aug 11,11980
19,Aug 4,11964
20,Jul 28,11923
21,Jul 21,11902
22,Jul 14,11892
23,Jul 7,11886
24,Jun 30,11877
25,Jun 23,11852
26,Jun 16,11828
27,Jun 9,11793
28,Jun 2,11750
29,May 26,11690
30,May 19,11613
31,May 12,11378
32,May 5,11126
33,Apr 28,10609
34,Apr 21,9897
35,Apr 14,8939
36,Apr 7,7427
37,Mar 31,4712
38,Mar 24,1495
39,Mar 17,314
40,Mar 12,86
